101,1604,TUCO SAZON SALSA FRASCO X 70 GRS,LT053C6,84,53
101,1604,TUCO SAZON SALSA FRASCO X 70 GRS,LT149A12,44,113
97,1605,SAZ. COMPL. C/AJI SIN PICANTE FRASCO X 70 GRS,LT025C3,127,114
102,1606,AJI COL. PANCA PICANTE FRASCO X 70 GRS,LT0111B10,74,115
102,1606,AJI COL. PANCA PICANTE FRASCO X 70 GRS,LT092C11,90,17
106,1607,KION MOLIDO FRASCO X 50 GRS,LT057C7,33,23
106,1607,KION MOLIDO FRASCO X 50 GRS,LT058C10,4,116
106,1607,KION MOLIDO FRASCO X 50 GRS,LT081C8,134,56
100,1609,PALILLO BATAN FRASCO X 70 GRS,LT054C6,120,57
107,1610,OREGANO MOLIDO FRASCO X 25 GRS,LT086C9,180,117
108,1611,AJI AMARILLO FRASCO X 70 GRS,LT0112B10,3,118
108,1611,AJI AMARILLO FRASCO X 70 GRS,LT0140B12,109,119
109,1612,AJI PAPRIKA PIMENTON FRASCO X 50 GRS,LT070C7,90,120
110,1613,CURRY FRASCO X 50 GRS,LT069C7,32,121
105,1614,SAZ. EL VERDE FRASCO X 50 GRS,LT073A6,14,122
105,1614,SAZ. EL VERDE FRASCO X 50 GRS,LT089A7,60,61
111,1615,PIMIENTA BLANCA MOLIDA FRASCO X 50 GRS,LT018B2,18,62
103,1616,SAL DE AJOS MOLIDO FRASCO X 70 GRS,LT051C6,157,123
103,1616,SAL DE AJOS MOLIDO FRASCO X 70 GRS,LT061C7,112,78
103,1616,SAL DE AJOS MOLIDO FRASCO X 70 GRS,LT099C10,97,63
440,1617,PIMIENTA BLANCA MOLIDA FRASCO X 70 GRS,LT075C7,60,64
112,1701,SAZ. COMPLETO BATAN GIGANTE X 24 GRS,LT025C3,1932,114
115,1702,PALILLO MOLIDO BATAN GIGANTE X 22 GRS,LT0127B11,210,76
115,1702,PALILLO MOLIDO BATAN GIGANTE X 22 GRS,LT054C6,882,57
115,1702,PALILLO MOLIDO BATAN GIGANTE X 22 GRS,LT063C7,252,41
113,1703,COMINO MOLIDO BATAN GIGANTE X 13 GRS,LT049B5,126,124
113,1703,COMINO MOLIDO BATAN GIGANTE X 13 GRS,LT064C7,2268,65
114,1704,PIMIENTA NEGRA MOLIDA BATAN GIGANTE X 12 GRS,LT028C4,1260,125
116,1705,TUCO SAZON SALSA BATAN GIGANTE X 20 GRS,LT024C3,756,112
116,1705,TUCO SAZON SALSA BATAN GIGANTE X 20 GRS,LT067C7,1008,44
117,1706,SAL DE AJOS MOLIDO BATAN GIGANTE X 16 GRS,LT061C7,1848,78
117,1706,SAL DE AJOS MOLIDO BATAN GIGANTE X 16 GRS,LT099C10,2268,63
121,1801,SAL PARRILLERA BATAN PARA RES FRASCO X 225 GRS,LT427C11,32,126
122,1802,SAL PARRILLERA BATAN PARA POLLO FRASCO X 215 GRS,LT426C11,44,127
123,1803,SAL PARRILLERA BATAN PARA CERDO FRASCO X 220 GRS,LT425C9,54,128
125,1902,SAL PARRILLERA BATAN PARA POLLO FRASCO X 215 GRS,LT408C2,42,129
126,1903,SAL PARRILLERA BATAN PARA CERDO FRASCO X 220 GRS,LT412C3,43,130
